obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""399.77""","=""0.02""","=""399.777""","=""0.011""","=""14""","=""8.e+06""",D,"=""33.1388""","=""36.2392""","=""2p5.(2P*).3s.3p.(3P*)""","=""4D""","=""3/2""","=""2p5.3s.(3P*).3d""","=""4P*""","=""3/2""",,"=""T5209""","=""L6269""",
"=""400.88""","=""0.02""","=""400.892""","=""0.011""","=""27""","=""1.5e+07""",D,"=""33.1388""","=""36.2306""","=""2p5.(2P*).3s.3p.(3P*)""","=""4D""","=""3/2""","=""2p5.3s.(3P*).3d""","=""4P*""","=""1/2""",,"=""T5209""","=""L6269""",
"=""405.66""","=""0.02""","=""405.670""","=""0.015""","=""""","=""""",,"=""33.1752""","=""36.2306""","=""2p5.(2P*).3s.3p.(3P*)""","=""4D""","=""1/2""","=""2p5.3s.(3P*).3d""","=""4P*""","=""1/2""",,"=""""","=""L10065""",
"=""412.790""","=""0.002""","=""412.79045""","=""0.00003""","=""""","=""""",,"=""2.102297177""","=""[5.10501280]""","=""2p6.3p""","=""2P*""","=""1/2""","=""2p6.20d""","=""2D""","=""3/2""",,"=""""","=""L9493""",
"=""413.082""","=""0.002""","=""413.08376""","=""0.00003""","=""""","=""8.62e+03""",B,"=""2.104429202""","=""[5.10501280]""","=""2p6.3p""","=""2P*""","=""3/2""","=""2p6.20d""","=""2D""","=""3/2""",,"=""T7799""","=""L9493""",
"=""413.082""","=""0.002""","=""413.08376""","=""0.00003""","=""""","=""5.17e+04""",B,"=""2.104429202""","=""[5.10501280]""","=""2p6.3p""","=""2P*""","=""3/2""","=""2p6.20d""","=""2D""","=""5/2""",,"=""T7799""","=""L9493""",
"=""413.291""","=""0.002""","=""413.29739""","=""0.00003""","=""""","=""""",,"=""2.102297177""","=""[5.10132984]""","=""2p6.3p""","=""2P*""","=""1/2""","=""2p6.19d""","=""2D""","=""3/2""",,"=""""","=""L9493""",
"=""413.481""","=""0.002""","=""413.48503""","=""0.00003""","=""""","=""""",,"=""2.102297177""","=""[5.09996887]""","=""2p6.3p""","=""2P*""","=""1/2""","=""2p6.20s""","=""2S""","=""1/2""",,"=""""","=""L9493""",
"=""413.584""","=""0.002""","=""413.59142""","=""0.00003""","=""""","=""1.01e+04""",B,"=""2.104429202""","=""[5.10132984]""","=""2p6.3p""","=""2P*""","=""3/2""","=""2p6.19d""","=""2D""","=""3/2""",,"=""T7799""","=""L9493""",
"=""413.584""","=""0.002""","=""413.59143""","=""0.00003""","=""""","=""6.06e+04""",B,"=""2.104429202""","=""[5.10132972]""","=""2p6.3p""","=""2P*""","=""3/2""","=""2p6.19d""","=""2D""","=""5/2""",,"=""T7799""","=""L9493""",
"=""413.774""","=""0.002""","=""413.77933""","=""0.00003""","=""""","=""3.40e+04""",B,"=""2.104429202""","=""[5.09996887]""","=""2p6.3p""","=""2P*""","=""3/2""","=""2p6.20s""","=""2S""","=""1/2""",,"=""T7799""","=""L9493""",
"=""413.890""","=""0.002""","=""413.89283""","=""0.00003""","=""""","=""""",,"=""2.102297177""","=""[5.09701544]""","=""2p6.3p""","=""2P*""","=""1/2""","=""2p6.18d""","=""2D""","=""3/2""",,"=""""","=""L9493""",
"=""414.108""","=""0.002""","=""414.11453""","=""0.00003""","=""""","=""""",,"=""2.102297177""","=""[5.09541220]""","=""2p6.3p""","=""2P*""","=""1/2""","=""2p6.19s""","=""2S""","=""1/2""",,"=""""","=""L9493""",
"=""414.184""","=""0.002""","=""414.18770""","=""0.00003""","=""""","=""1.12e+04""",B,"=""2.104429202""","=""[5.09701544]""","=""2p6.3p""","=""2P*""","=""3/2""","=""2p6.18d""","=""2D""","=""3/2""",,"=""T7799""","=""L9493""",
"=""414.184""","=""0.002""","=""414.18770""","=""0.00003""","=""""","=""6.72e+04""",B,"=""2.104429202""","=""[5.09701544]""","=""2p6.3p""","=""2P*""","=""3/2""","=""2p6.18d""","=""2D""","=""5/2""",,"=""T7799""","=""L9493""",
"=""414.403""","=""0.002""","=""414.40972""","=""0.00003""","=""""","=""4.01e+04""",B,"=""2.104429202""","=""[5.09541220]""","=""2p6.3p""","=""2P*""","=""3/2""","=""2p6.19s""","=""2S""","=""1/2""",,"=""T7799""","=""L9493""",
"=""414.598""","=""0.002""","=""414.59869""","=""0.00003""","=""""","=""""",,"=""2.102297177""","=""[5.09191696]""","=""2p6.3p""","=""2P*""","=""1/2""","=""2p6.17d""","=""2D""","=""3/2""",,"=""""","=""L9493""",
"=""414.62""","=""0.04""","=""414.599""","=""0.014""","=""""","=""""",,"=""33.3390""","=""36.3286""","=""2p5.(2P*).3s.3p.(3P*)""","=""4P""","=""3/2""","=""2p5.3s.(3P*).3d""","=""4D*""","=""3/2""",,"=""""","=""L10065""",
"=""414.861""","=""0.002""","=""414.86329""","=""0.00003""","=""""","=""""",,"=""2.102297177""","=""[5.09001021]""","=""2p6.3p""","=""2P*""","=""1/2""","=""2p6.18s""","=""2S""","=""1/2""",,"=""""","=""L9493""",
"=""414.893""","=""0.002""","=""414.89457""","=""0.00003""","=""""","=""1.42e+04""",B,"=""2.104429202""","=""[5.09191696]""","=""2p6.3p""","=""2P*""","=""3/2""","=""2p6.17d""","=""2D""","=""3/2""",,"=""T7799""","=""L9493""",
"=""414.893""","=""0.002""","=""414.89459""","=""0.00003""","=""""","=""8.52e+04""",B,"=""2.104429202""","=""[5.09191684]""","=""2p6.3p""","=""2P*""","=""3/2""","=""2p6.17d""","=""2D""","=""5/2""",,"=""T7799""","=""L9493""",
"=""415.175""","=""0.002""","=""415.15955""","=""0.00003""","=""""","=""4.78e+04""",B,"=""2.104429202""","=""[5.09001021]""","=""2p6.3p""","=""2P*""","=""3/2""","=""2p6.18s""","=""2S""","=""1/2""",,"=""T7799""","=""L9493""",
"=""415.444""","=""0.002""","=""415.44429""","=""0.00003""","=""""","=""""",,"=""2.102297177""","=""[5.08583194]""","=""2p6.3p""","=""2P*""","=""1/2""","=""2p6.16d""","=""2D""","=""3/2""",,"=""""","=""L9493""",
"=""415.70""","=""0.04""","=""415.74""","=""0.03""","=""""","=""""",,"=""33.3625""","=""36.3439""","=""2p5.(2P*).3s.3p.(3P*)""","=""4P""","=""1/2""","=""2p5.3s.(3P*).3d""","=""4D*""","=""1/2""",,"=""""","=""L10065""",
"=""415.740""","=""0.002""","=""415.74139""","=""0.00003""","=""""","=""1.71e+04""",B,"=""2.104429202""","=""[5.08583194]""","=""2p6.3p""","=""2P*""","=""3/2""","=""2p6.16d""","=""2D""","=""3/2""",,"=""T7799""","=""L9493""",
"=""415.740""","=""0.002""","=""415.74140""","=""0.00003""","=""""","=""1.03e+05""",B,"=""2.104429202""","=""[5.08583182]""","=""2p6.3p""","=""2P*""","=""3/2""","=""2p6.16d""","=""2D""","=""5/2""",,"=""T7799""","=""L9493""",
"=""415.760""","=""0.002""","=""415.76369""","=""0.00003""","=""""","=""""",,"=""2.102297177""","=""[5.08353997]""","=""2p6.3p""","=""2P*""","=""1/2""","=""2p6.17s""","=""2S""","=""1/2""",,"=""""","=""L9493""",
"=""416.057""","=""0.002""","=""416.06124""","=""0.00003""","=""""","=""5.76e+04""",B,"=""2.104429202""","=""[5.08353997]""","=""2p6.3p""","=""2P*""","=""3/2""","=""2p6.17s""","=""2S""","=""1/2""",,"=""T7799""","=""L9493""",
"=""416.470""","=""0.002""","=""416.46940""","=""0.00003""","=""""","=""""",,"=""2.102297177""","=""[5.07848836]""","=""2p6.3p""","=""2P*""","=""1/2""","=""2p6.15d""","=""2D""","=""3/2""",,"=""""","=""L9493""",
"=""416.767""","=""0.002""","=""416.76796""","=""0.00003""","=""""","=""2.09e+04""",B,"=""2.104429202""","=""[5.07848836]""","=""2p6.3p""","=""2P*""","=""3/2""","=""2p6.15d""","=""2D""","=""3/2""",,"=""T7799""","=""L9493""",
"=""416.767""","=""0.002""","=""416.76796""","=""0.00003""","=""""","=""1.25e+05""",B,"=""2.104429202""","=""[5.07848836]""","=""2p6.3p""","=""2P*""","=""3/2""","=""2p6.15d""","=""2D""","=""5/2""",,"=""T7799""","=""L9493""",
"=""416.858""","=""0.002""","=""416.85997""","=""0.00003""","=""""","=""""",,"=""2.102297177""","=""[5.07569996]""","=""2p6.3p""","=""2P*""","=""1/2""","=""2p6.16s""","=""2S""","=""1/2""",,"=""""","=""L9493""",
"=""417.156""","=""0.002""","=""417.15909""","=""0.00003""","=""""","=""7.03e+04""",B,"=""2.104429202""","=""[5.07569996]""","=""2p6.3p""","=""2P*""","=""3/2""","=""2p6.16s""","=""2S""","=""1/2""",,"=""T7799""","=""L9493""",
"=""417.67""","=""0.02""","=""417.667""","=""0.014""","=""82""","=""3.5e+07""",D,"=""33.2915""","=""36.2591""","=""2p5.(2P*).3s.3p.(3P*)""","=""4P""","=""5/2""","=""2p5.3s.(3P*).3d""","=""4F*""","=""7/2""",,"=""T5209""","=""L6269""",
"=""417.723""","=""0.002""","=""417.72905""","=""0.00003""","=""""","=""""",,"=""2.102297177""","=""[5.06951389]""","=""2p6.3p""","=""2P*""","=""1/2""","=""2p6.14d""","=""2D""","=""3/2""",,"=""""","=""L9493""",
"=""418.022""","=""0.002""","=""418.02943""","=""0.00003""","=""""","=""2.58e+04""",B,"=""2.104429202""","=""[5.06951389]""","=""2p6.3p""","=""2P*""","=""3/2""","=""2p6.14d""","=""2D""","=""3/2""",,"=""T7799""","=""L9493""",
"=""418.022""","=""0.002""","=""418.02944""","=""0.00003""","=""""","=""1.55e+05""",B,"=""2.104429202""","=""[5.06951376]""","=""2p6.3p""","=""2P*""","=""3/2""","=""2p6.14d""","=""2D""","=""5/2""",,"=""T7799""","=""L9493""",
"=""418.209""","=""0.002""","=""418.21380""","=""0.00004""","=""""","=""""",,"=""2.102297177""","=""[5.06607469]""","=""2p6.3p""","=""2P*""","=""1/2""","=""2p6.15s""","=""2S""","=""1/2""",,"=""""","=""L9493""",
"=""418.509""","=""0.002""","=""418.51487""","=""0.00004""","=""""","=""8.70e+04""",B,"=""2.104429202""","=""[5.06607469]""","=""2p6.3p""","=""2P*""","=""3/2""","=""2p6.15s""","=""2S""","=""1/2""",,"=""T7799""","=""L9493""",
"=""418.55""","=""0.02""","=""418.546""","=""0.011""","=""150""","=""4.9e+07""",D,"=""33.2915""","=""36.2529""","=""2p5.(2P*).3s.3p.(3P*)""","=""4P""","=""5/2""","=""2p5.3s.(3P*).3d""","=""4D*""","=""5/2""",,"=""T5209""","=""L6269""",
"=""419.297""","=""0.002""","=""419.30142""","=""0.00004""","=""""","=""""",,"=""2.102297177""","=""[5.05838717]""","=""2p6.3p""","=""2P*""","=""1/2""","=""2p6.13d""","=""2D""","=""3/2""",,"=""""","=""L9493""",
"=""419.598""","=""0.002""","=""419.60405""","=""0.00004""","=""""","=""3.27e+04""",B,"=""2.104429202""","=""[5.05838717]""","=""2p6.3p""","=""2P*""","=""3/2""","=""2p6.13d""","=""2D""","=""3/2""",,"=""T7799""","=""L9493""",
