obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""467.86107""","=""0.00020""","=""467.86089""","=""0.00011""","=""500""","=""""",,"=""18.61270528""","=""21.2619865""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[3/2]""","=""1""","=""2s2.2p5.(2P*<3/2>).8s""","=""2[3/2]*""","=""1""",,"=""""","=""L4498""",
"=""467.9135""","=""0.0001""","=""467.91360""","=""0.00013""","=""1500""","=""""",,"=""18.63679156""","=""21.2857743""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[3/2]""","=""2""","=""2s2.2p5.(2P*<3/2>).7d""","=""2[3/2]*""","=""2""",,"=""""","=""L7292""",
"=""468.03670""","=""0.00020""","=""468.03671""","=""0.00007""","=""1000""","=""""",,"=""18.63679156""","=""21.2850775""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[3/2]""","=""2""","=""2s2.2p5.(2P*<3/2>).7d""","=""2[7/2]*""","=""3""",,"=""""","=""L4498""",
"=""468.1200""","=""0.0020""","=""468.12000""","=""0.00024""","=""500""","=""""",,"=""18.63679156""","=""21.2846064""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[3/2]""","=""2""","=""2s2.2p5.(2P*<3/2>).7d""","=""2[1/2]*""","=""1""",,"=""""","=""L3469""",
"=""468.1930""","=""0.0020""","=""468.19253""","=""0.00013""","=""200""","=""""",,"=""18.70407118""","=""21.3514758""","=""2s2.2p5.(2P*<1/2>).3p""","=""2[3/2]""","=""2""","=""2s2.2p5.(2P*<3/2>).8d""","=""2[5/2]*""","=""3""",,"=""""","=""L3469""",
"=""468.2146""","=""0.0020""","=""468.21532""","=""0.00009""","=""200""","=""""",,"=""18.61270528""","=""21.2599810""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[3/2]""","=""1""","=""2s2.2p5.(2P*<3/2>).8s""","=""2[3/2]*""","=""2""",,"=""""","=""L3469""",
"=""468.2910""","=""0.0020""","=""468.29114""","=""0.00024""","=""100""","=""""",,"=""18.70407118""","=""21.3509183""","=""2s2.2p5.(2P*<1/2>).3p""","=""2[3/2]""","=""2""","=""2s2.2p5.(2P*<3/2>).8d""","=""2[3/2]*""","=""2""",,"=""""","=""L3469""",
"=""468.3238""","=""0.0020""","=""468.32400""","=""0.00005""","=""50""","=""""",,"=""18.70407118""","=""21.35073261""","=""2s2.2p5.(2P*<1/2>).3p""","=""2[3/2]""","=""2""","=""2s2.2p5.(2P*<3/2>).8d""","=""2[7/2]*""","=""3""",,"=""""","=""L3469""",
"=""468.3764""","=""0.0020""","=""468.37784""","=""0.00009""","=""300""","=""""",,"=""18.71137667""","=""21.3577339""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[1/2]""","=""0""","=""2s2.2p5.(2P*<1/2>).8s""","=""2[1/2]*""","=""1""",,"=""""","=""L3469""",
"=""468.7671""","=""0.0001""","=""468.76706""","=""0.00004""","=""1000""","=""""",,"=""18.63679156""","=""21.28095151""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[3/2]""","=""2""","=""2s2.2p5.(2P*<1/2>).6d""","=""2[5/2]*""","=""3""",,"=""""","=""L7292""",
