element,sp_num,obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
Na,2,"=""295.1235""","=""0.0003""","=""295.1235""","=""0.0012""","=""1200""","=""4.33e+08""",A,"=""36.854157""","=""41.054025""","=""2s2.2p5.3p""","=""3D""","=""3""","=""2s2.2p5.(2P*<3/2>).3d""","=""2[7/2]*""","=""4""",,"=""T7663""","=""L914""",
Na,2,"=""295.2396""","=""0.0003""","=""295.2396""","=""0.0012""","=""1100""","=""1.8e+07""",E,"=""36.902113""","=""41.100329""","=""2s2.2p5.3p""","=""3D""","=""2""","=""2s2.2p5.(2P*<3/2>).4s""","=""2[3/2]*""","=""2""",,"=""T7663c78""","=""L914""",
Na,2,"=""296.0116""","=""0.0003""","=""296.0115""","=""0.0012""","=""850""","=""5.60e+07""",B+,"=""37.094827""","=""41.282097""","=""2s2.2p5.3p""","=""1D""","=""2""","=""2s2.2p5.(2P*<1/2>).3d""","=""2[3/2]*""","=""2""",,"=""T7663""","=""L914""",
Na,2,"=""296.5742""","=""0.0003""","=""296.5746""","=""0.0012""","=""450""","=""4.6e+05""",E,"=""36.967803""","=""41.147123""","=""2s2.2p5.3p""","=""3D""","=""1""","=""2s2.2p5.(2P*<3/2>).4s""","=""2[3/2]*""","=""1""",,"=""T7663c79""","=""L914""",
Na,2,"=""297.0727""","=""0.0003""","=""297.0727""","=""0.0012""","=""500""","=""1.03e+07""",B,"=""37.094827""","=""41.267140""","=""2s2.2p5.3p""","=""1D""","=""2""","=""2s2.2p5.(2P*<1/2>).3d""","=""2[5/2]*""","=""3""",,"=""T7663""","=""L914""",
Na,2,"=""297.4235""","=""0.0003""","=""297.4238""","=""0.0013""","=""600""","=""2.02e+07""",C+,"=""37.094827""","=""41.262215""","=""2s2.2p5.3p""","=""1D""","=""2""","=""2s2.2p5.(2P*<1/2>).3d""","=""2[5/2]*""","=""2""",,"=""T6036""","=""L914""",
Na,2,"=""297.4988""","=""0.0003""","=""297.4990""","=""0.0013""","=""750""","=""6.47e+07""",B+,"=""33.014713""","=""37.181047""","=""2s2.2p5.3s""","=""3P*""","=""0""","=""2s2.2p5.3p""","=""1P""","=""1""",,"=""T7663""","=""L914""",
Na,2,"=""297.7125""","=""0.0003""","=""297.7128""","=""0.0013""","=""1000""","=""1.2e+08""",E,"=""36.967803""","=""41.131145""","=""2s2.2p5.3p""","=""3D""","=""1""","=""2s2.2p5.(2P*<3/2>).3d""","=""2[3/2]*""","=""1""",,"=""T6036c79""","=""L914""",
Na,2,"=""297.9657""","=""0.0003""","=""297.9660""","=""0.0013""","=""1100""","=""2.0e+08""",E,"=""36.902113""","=""41.061918""","=""2s2.2p5.3p""","=""3D""","=""2""","=""2s2.2p5.(2P*<3/2>).3d""","=""2[7/2]*""","=""3""",,"=""T6036c79""","=""L914""",
Na,2,"=""298.0627""","=""0.0003""","=""298.0624""","=""0.0013""","=""1100""","=""3.30e+05""",D,"=""36.854157""","=""41.012615""","=""2s2.2p5.3p""","=""3D""","=""3""","=""2s2.2p5.(2P*<3/2>).3d""","=""2[3/2]*""","=""2""",,"=""T6036""","=""L914""",
